site_id,DSWD_mm,MAP_mm,PET_mm,clay_pct,sand_pct,silt_pct,stand_age_yr,species_code,lon,lat
55,-281.5297828,549.815979,1004.190323,21.14285714,41.42857143,37.42857143,18,100,107.57,35.72
56,-141.0006618,483.4385376,1108.509677,21.14285714,41.42857143,37.42857143,18,109,110.38,37.62
57,-132.9822161,462.2886963,1135.448387,21.14285714,41.42857143,37.42857143,18,102,110.3,37.53
58,-242.5771031,587.4805298,1037.306452,21.14285714,41.42857143,37.42857143,20,100,107.67,35.23
59,-229.1297964,580.7781982,989.083871,21,34.14285714,44.85714286,20,102,108.53,36.07
60,-142.4328788,598.9641113,1095.941935,21.14285714,41.42857143,37.42857143,20,105,109.4,35.7
61,-152.0085449,598.9641113,1095.941935,21.14285714,41.42857143,37.42857143,20,105,109.4,35.7
62,-181.6014846,462.2886963,1140.019355,21.14285714,41.42857143,37.42857143,21,111,110.28,37.52
63,-195.5583268,462.2886963,1140.019355,21.14285714,41.42857143,37.42857143,21,102,110.28,37.52
64,-168.8299697,462.2886963,1140.019355,21.14285714,41.42857143,37.42857143,22,111,110.28,37.52
65,-156.3124467,462.2886963,1148.348387,21.14285714,41.42857143,37.42857143,22,102,110.28,37.52
66,-170.1980445,462.2886963,1148.348387,21.14285714,41.42857143,37.42857143,22,111,110.28,37.52
67,-185.5799234,462.2886963,1140.019355,21.14285714,41.42857143,37.42857143,22,102,110.28,37.52
68,-96.33649031,598.9641113,1095.941935,21.14285714,41.42857143,37.42857143,23,105,109.4,35.7
69,-168.5133624,462.2886963,1140.019355,21.14285714,41.42857143,37.42857143,23,111,110.28,37.52
70,-176.6875459,462.2886963,1140.019355,21.14285714,41.42857143,37.42857143,23,102,110.28,37.52
71,-160.1445731,462.2886963,1140.019355,21.14285714,41.42857143,37.42857143,24,111,110.28,37.52
72,-172.260285,462.2886963,1140.019355,21.14285714,41.42857143,37.42857143,24,102,110.28,37.52
